post,1423180204314867202,alessandrogoller,La bellezza delle cose esiste nella mente di chi le osserva.  #budapest #pest #ungheria #ponte #capodanno #2017
post,1360725932294076937,alessandrogoller,"In cima al mondo con l'ingegner Perghem. Cima tosa 3175m «In cima ad ogni vetta si è sull'orlo di un abisso».
Stanislaw Lec 
#climb #climbing #mountainlovers #trentinodavivere #instatrentino #rockandice #rockclimb  #visittrentino #nofilters #trentinomese #3000 #landscape #passione #climbing_pictures_of_instagram  #trekking #alps
#trentinodascoprire #parcoadamellobrenta
#earthlusters #apmountainlife #timetoclimb
#mountainhardwear #dolomistici  #explorewithfriends #lobomountain
@dolomistici @matteo.perghem"
post,1356683937036870812,alessandrogoller,"Benvenuta nel mio Instagram <3

#love #photographer #adorable #beautiful #nofilters #instalove #nikon #amore"
post,1354532217108136799,alessandrogoller,"Guardando l'alba sul Brenta.
Rifugio tosa pedrotti.

#brenta #climb #climbing #mountainlovers #trentinodavivere #instatrentino #rifugio #tosa #rockandice #rockclimb  #visittrentino #climbing_pictures_of_instagram 
#trentinodascoprire #parcoadamellobrenta
#earthlusters #apmountainlife
@dolomistici"
post,1348730529810183927,alessandrogoller,"Guardando avanti, via trenker #sella
#mountainlovers #outdoors #climbing #instatrentino #trentinodavivere #visittrentino #nofilters #rockandice #loves_trentino #loves_mountains #hiking #trekking #panoramicview #motivation #climbinglife
@dolomistici"
post,1341963907904793115,alessandrogoller,"Via dei falchi #trento #mountainlovers #tramonto #climbing #nofilters #trentinodavivere #instatrentino
@dolomistici"
post,1321591873945328597,alessandrogoller,"La pace e il silenzio che si trova in montagna è introvabile da nessuna altra parte. 
#Torrefinestra #trentinodavivere #mountainlovers #rifugitrentini #rifugio roda di vael #ciao #montain #trekking #cloudy #val di Fassa #rodadivael #mountains #instatrentino #visittrentino #rifugi #climb"
post,1312967295014549531,alessandrogoller,Lago di tenno #lake #trentinodavivere #laghitrentini #paesaggi #tenno #trentinodascoprire #trentino
post,1306410727603228391,alessandrogoller,"Camminando sul Brenta 
#trekking #instatrentino #mountainlovers #outdoors
#nofilters #instanature #mountains #Cloudy #mountainporn #outdoors #theearthoutdoors #trentino_mountains"
post,1299957668518016363,alessandrogoller,"Se la montagna non andrà da Goller, Goller andrà dalla montagna.  Cit.  Shakespeare 
#instatrentino #trento #mountain #Blockandwall #trentinodascoprire #tesorideltrentino #mountainlovers #cloudy"
post,1297201075678222523,alessandrogoller,#Slackline #Yogaline #Trentino
